,codigo_municipio,ano,dado_identificador,valor,tipo_dado
2177,1700251,2015,PIB TOTAL,37328000.0,float
2184,1700301,2015,PIB TOTAL,109236000.0,float
2191,1700350,2015,PIB TOTAL,73158000.0,float
2198,1700400,2015,PIB TOTAL,119955000.0,float
2205,1700707,2015,PIB TOTAL,231814000.0,float
2212,1701002,2015,PIB TOTAL,89900000.0,float
2219,1701051,2015,PIB TOTAL,40468000.0,float
2226,1701101,2015,PIB TOTAL,71286000.0,float
2233,1701309,2015,PIB TOTAL,58663000.0,float
2240,1701903,2015,PIB TOTAL,74800000.0,float
2247,1702000,2015,PIB TOTAL,158036000.0,float
2254,1702109,2015,PIB TOTAL,3442013000.0,float
2261,1702158,2015,PIB TOTAL,58972000.0,float
2268,1702208,2015,PIB TOTAL,329820000.0,float
2275,1702307,2015,PIB TOTAL,96251000.0,float
2282,1702406,2015,PIB TOTAL,129116000.0,float
2289,1702554,2015,PIB TOTAL,190943000.0,float
2296,1702703,2015,PIB TOTAL,37445000.0,float
2303,1702901,2015,PIB TOTAL,92032000.0,float
2310,1703008,2015,PIB TOTAL,92000000.0,float
2317,1703057,2015,PIB TOTAL,86779000.0,float
2324,1703073,2015,PIB TOTAL,48748000.0,float
2331,1703107,2015,PIB TOTAL,61091000.0,float
2338,1703206,2015,PIB TOTAL,64822000.0,float
2345,1703305,2015,PIB TOTAL,60935000.0,float
2352,1703602,2015,PIB TOTAL,39755000.0,float
2359,1703701,2015,PIB TOTAL,95909000.0,float
2366,1703800,2015,PIB TOTAL,76159000.0,float
2373,1703826,2015,PIB TOTAL,22182000.0,float
2380,1703842,2015,PIB TOTAL,314383000.0,float
2387,1703867,2015,PIB TOTAL,286391000.0,float
2394,1703883,2015,PIB TOTAL,32234000.0,float
2401,1703891,2015,PIB TOTAL,30620000.0,float
2408,1703909,2015,PIB TOTAL,64811000.0,float
2415,1704105,2015,PIB TOTAL,28078000.0,float
2422,1704600,2015,PIB TOTAL,19606000.0,float
2429,1705102,2015,PIB TOTAL,60989000.0,float
2436,1705508,2015,PIB TOTAL,577208000.0,float
2443,1705557,2015,PIB TOTAL,53659000.0,float
2450,1705607,2015,PIB TOTAL,41708000.0,float
2457,1706001,2015,PIB TOTAL,76717000.0,float
2464,1706100,2015,PIB TOTAL,98549000.0,float
2471,1706258,2015,PIB TOTAL,37604000.0,float
